City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,tamiahua,21.2667,-97.45,23.7,83,96,0.89,MX,1728617175
83,ta`u,-14.2336,-169.5144,26.77,80,46,8.91,AS,1728617176
84,carovigno,40.708,17.655,22.1,62,86,0.98,IT,1728616923
85,bilibino,68.0546,166.4372,-11.44,96,58,0.54,RU,1728617178
86,porto novo,6.4965,2.6036,25.9,91,89,1.83,BJ,1728617179
87,schoningen,52.138,10.9675,7.45,84,86,3.58,DE,1728617181
88,invercargill,-46.4,168.35,13.9,70,81,5.81,NZ,1728617182
89,thanh hoa,19.8,105.7667,29.3,56,38,1.26,VN,1728617183
90,punta arenas,-53.15,-70.9167,5.06,75,75,5.66,CL,1728616673
91,linhai,28.85,121.1167,24.17,53,1,1.34,CN,1728617185
92,east london,-33.0153,27.9116,16.52,77,75,5.66,ZA,1728617186
93,olonkinbyen,70.9221,-8.7187,-3.19,91,100,20.88,SJ,1728617116
94,bardai,11.65,7.2333,22.88,70,7,1.89,NG,1728617188
95,tsiombe,-25.3,45.4833,20.46,70,1,3.18,MG,1728617189
96,el calafate,-50.3408,-72.2768,4.75,79,100,3.46,AR,1728617191
97,avarua,-21.2078,-159.775,25.03,69,20,7.2,CK,1728617192
98,dhalie,13.6957,44.7314,20.79,72,7,0.61,YE,1728617193
99,katiola,8.1333,-5.1,21.45,98,51,1.47,CI,1728617194
100,hinton,53.4001,-117.5857,3.18,80,36,1.76,CA,1728617195
101,west island,-12.1568,96.8225,27.99,74,20,7.72,CC,1728617196
102,miri,4.4148,114.0089,30.08,74,40,1.54,MY,1728617197
103,huarmey,-10.0681,-78.1522,17.47,90,18,4.05,PE,1728617199
104,puerto ayora,-0.7393,-90.3518,20.31,94,98,3.13,EC,1728617200
105,douz,33.4663,9.0203,24.36,69,75,8.32,TN,1728617201
106,nemuro,43.3236,145.575,10.07,79,100,7.05,JP,1728617202
107,iqaluit,63.7506,-68.5145,0.85,86,75,4.12,CA,1728617203
108,bredasdorp,-34.5322,20.0403,11.36,88,95,1.56,ZA,1728617204
109,owase,34.0667,136.2,22.13,55,100,1.67,JP,1728617205
110,suva,-18.1416,178.4415,30.71,66,40,3.6,FJ,1728617206
111,pursat,12.3333,103.6667,28.66,66,53,1.53,KH,1728617209
112,six-fours-les-plages,43.0938,5.84,16.53,68,70,3.13,FR,1728617210
113,vilyuchinsk,52.9306,158.4028,8.15,54,99,2.69,RU,1728617211
114,vizinga,61.0749,50.1031,-2.32,67,100,3.35,RU,1728617212
115,papatowai,-46.5619,169.4708,13.92,57,49,5.36,NZ,1728617213
116,kokoda,-8.8785,147.7407,27.66,86,85,2.32,PG,1728617214
117,nyurba,63.2842,118.3319,-0.87,85,100,1.54,RU,1728617215
118,wailua homesteads,22.0669,-159.378,27.44,85,20,5.66,US,1728617216
119,thoen,17.6129,99.2161,27.35,89,24,0.33,TH,1728617217
120,enriquillo,17.9,-71.2333,26.04,85,55,2.06,DO,1728617219
121,praya,14.9215,-23.5087,25.3,100,75,1.54,CV,1728617207
122,cabo san lucas,22.8909,-109.9124,28.17,83,20,2.57,MX,1728616967
123,san patricio,28.017,-97.5169,22.97,58,0,3.58,US,1728617222
124,vallenar,-28.5708,-70.7581,13.11,75,0,1.01,CL,1728617127
125,codrington,-38.2667,141.9667,13.96,67,100,7.47,AU,1728617224
126,shijiazhuang,38.0414,114.4786,21.81,24,0,1.11,CN,1728617225
127,kuytun,54.3419,101.5036,-1.39,87,100,3.21,RU,1728617226
128,benjamin constant,-4.3831,-70.0311,24.07,93,52,0.46,BR,1728617227
129,enewetak,11.3474,162.3373,28.92,74,96,3.23,MH,1728617228
130,fort bragg,35.139,-79.006,13.61,72,0,1.54,US,1728617230
131,tura,25.5198,90.2201,26.21,87,17,1.25,IN,1728617231
132,bamboo flat,11.7,92.7167,29.05,79,40,2.57,IN,1728617232
133,xai-xai,-25.0519,33.6442,17.54,88,0,2.96,MZ,1728617233
134,balabac,7.9868,117.0645,30.68,65,8,4.58,PH,1728617234
135,hadibu,12.65,54.0333,25.55,80,96,1.32,YE,1728617235
136,kattivakkam,13.2167,80.3167,29.05,71,63,0.47,IN,1728617236
137,funadhoo,6.15,73.2667,26.51,82,100,9.56,MV,1728617237
138,mushie,-3.0167,16.9,22.59,92,33,0.27,CD,1728617238
139,port lincoln,-34.7333,135.8667,15.35,60,50,5.31,AU,1728617239
140,adler,43.43,39.92,16.09,67,91,6.0,RU,1728617241
141,horsham,51.064,-0.3272,4.41,95,0,1.03,GB,1728616870
142,ijebu-ife,6.7784,4.0339,22.96,97,83,0.51,NG,1728617243
143,badger,64.8,-147.5333,1.31,84,75,2.57,US,1728617244
144,nyeri,-0.4201,36.9476,13.63,92,89,2.16,KE,1728617245
145,basoko,1.2391,23.616,20.84,94,14,0.11,CD,1728617246
146,praia,14.9215,-23.5087,25.3,100,75,1.54,CV,1728617247
147,san pedro pochutla,15.7333,-96.4667,24.28,91,81,1.6,MX,1728617248
148,naha,26.2125,127.6811,29.38,55,20,4.12,JP,1728617249
149,bori,4.6737,7.362,24.45,92,14,1.81,NG,1728617251
150,st. john's,47.5649,-52.7093,10.31,97,40,5.66,CA,1728617058
151,napili-honokowai,20.9708,-156.6705,29.64,82,100,6.11,US,1728617253
152,bikenibeu village,1.3673,173.1241,28.98,74,75,4.12,KI,1728617254
153,taltal,-25.4,-70.4833,17.28,67,0,2.44,CL,1728617255
154,sorong,-0.8833,131.25,29.46,71,28,1.8,ID,1728617256
155,shalya,57.2471,58.7298,-6.52,84,71,5.42,RU,1728617257
156,san mariano,7.5,126.0,29.66,74,37,1.34,PH,1728617258
157,bonthe,7.5264,-12.505,24.15,94,100,2.67,SL,1728617259
158,le port,-20.9373,55.2919,23.27,83,62,1.84,RE,1728617262
159,kodiak,57.79,-152.4072,5.73,81,100,3.6,US,1728617263
160,saint-philippe,-21.3585,55.7679,20.91,84,67,6.72,RE,1728617264
161,kedougou,12.5579,-12.1743,24.32,94,20,0.0,SN,1728617265
162,akureyri,65.6835,-18.0878,-1.04,93,100,4.63,IS,1728617266
163,labrador city,52.9463,-66.9114,2.95,86,100,5.66,CA,1728617267
164,thompson,55.7435,-97.8558,3.09,93,20,2.06,CA,1728617268
165,vernon,50.2581,-119.2691,10.8,54,88,0.89,CA,1728617156
166,zaozersk,69.4005,32.4476,2.67,91,100,3.03,RU,1728617271
167,esikhaleni,-28.871,31.8996,20.31,84,14,7.72,ZA,1728617272
168,nabire,-3.3667,135.4833,29.64,70,100,2.55,ID,1728617273
169,tangalle,6.024,80.7911,25.75,87,100,7.65,LK,1728617274
170,prainha,-1.8,-53.48,26.62,59,33,0.67,BR,1728617275
171,anadyr,64.75,177.4833,-2.72,86,40,4.0,RU,1728617276
172,santa marta,11.2408,-74.199,27.72,82,40,2.57,CO,1728617143
173,bhatgaon,21.15,81.7,28.1,74,20,1.03,IN,1728617278
174,qaqortoq,60.7167,-46.0333,2.02,86,88,1.65,GL,1728617280
175,ryotsu-minato,38.0833,138.4333,20.78,62,32,2.68,JP,1728617281
176,villa de soto,-30.8552,-64.9995,15.38,85,0,1.36,AR,1728617282
177,port alfred,-33.5906,26.891,16.46,75,100,6.67,ZA,1728617283
178,usogorsk,63.4106,48.6872,-0.88,61,100,5.07,RU,1728617284
179,illizi,26.4833,8.4667,29.97,25,39,1.41,DZ,1728617286
180,nkoteng,4.5167,12.0333,19.42,98,28,0.62,CM,1728617287
181,lakatoro,-16.0999,167.4164,27.89,70,43,3.74,VU,1728617288
182,aquiraz,-3.9014,-38.3911,27.05,76,100,5.86,BR,1728617290
183,port mathurin,-19.6833,63.4167,22.37,78,100,10.61,MU,1728617291
184,dryden,49.7833,-92.7503,16.16,67,40,3.09,CA,1728617292
185,champerico,14.3,-91.9167,27.14,77,82,1.15,GT,1728617293
186,valparaiso,-33.0393,-71.6273,12.8,94,100,0.0,CL,1728617005
187,uturoa,-16.7333,-151.4333,23.94,85,100,9.03,PF,1728617295
188,lubbenau,51.8667,13.9667,7.64,89,38,2.91,DE,1728617296
189,hamilton,39.1834,-84.5333,12.65,76,0,0.89,US,1728616454
190,berdigestyakh,62.0989,126.6992,0.0,89,100,1.98,RU,1728617300
191,ambovombe,-25.1667,46.0833,20.02,75,1,2.07,MG,1728617301
192,vilyuysk,63.7553,121.6247,-1.22,80,100,1.81,RU,1728617302
193,borzya,50.3833,116.5167,3.64,44,2,7.1,RU,1728617303
194,lincheng,19.9078,109.6858,28.5,67,66,4.31,CN,1728617304
195,yima,34.7381,111.8839,19.73,41,100,2.62,CN,1728617305
